"","index","id","name","date","record_identifier","status_of_system","maximum_sustained_wind_knots","maximum_pressure","year.x","anomaly"
"172",43887,"AL062005","FRANKLIN",2005-07-21,"","TS",30,1010,2005,0.72063
"173",43888,"AL062005","FRANKLIN",2005-07-22,"","TS",40,1009,2005,0.72063
"174",43889,"AL062005","FRANKLIN",2005-07-22,"","TS",40,1008,2005,0.72063
"175",43890,"AL062005","FRANKLIN",2005-07-22,"","TS",45,1007,2005,0.72063
"176",43891,"AL062005","FRANKLIN",2005-07-22,"","TS",45,1006,2005,0.72063
"177",43892,"AL062005","FRANKLIN",2005-07-23,"","TS",45,1003,2005,0.72063
"178",43893,"AL062005","FRANKLIN",2005-07-23,"","TS",50,1001,2005,0.72063
"179",43894,"AL062005","FRANKLIN",2005-07-23,"","TS",60,1001,2005,0.72063
"180",43895,"AL062005","FRANKLIN",2005-07-23,"","TS",60,1001,2005,0.72063
"181",43896,"AL062005","FRANKLIN",2005-07-24,"","TS",55,1001,2005,0.72063
"182",43897,"AL062005","FRANKLIN",2005-07-24,"","TS",55,1001,2005,0.72063
"183",43898,"AL062005","FRANKLIN",2005-07-24,"","TS",45,1001,2005,0.72063
"184",43899,"AL062005","FRANKLIN",2005-07-24,"","TS",45,1000,2005,0.72063
"185",43900,"AL062005","FRANKLIN",2005-07-25,"","TS",40,1000,2005,0.72063
"186",43901,"AL062005","FRANKLIN",2005-07-25,"","TS",40,1000,2005,0.72063
"187",43902,"AL062005","FRANKLIN",2005-07-25,"","TS",40,999,2005,0.72063
"188",43903,"AL062005","FRANKLIN",2005-07-25,"","TS",40,999,2005,0.72063
"189",43904,"AL062005","FRANKLIN",2005-07-26,"","TS",35,1000,2005,0.72063
"190",43905,"AL062005","FRANKLIN",2005-07-26,"","TS",35,1001,2005,0.72063
"191",43906,"AL062005","FRANKLIN",2005-07-26,"","TS",35,1002,2005,0.72063
"192",43907,"AL062005","FRANKLIN",2005-07-26,"","TS",35,1001,2005,0.72063
"193",43908,"AL062005","FRANKLIN",2005-07-27,"","TS",40,1000,2005,0.72063
"194",43909,"AL062005","FRANKLIN",2005-07-27,"","TS",40,1000,2005,0.72063
"195",43910,"AL062005","FRANKLIN",2005-07-27,"","TS",45,999,2005,0.72063
"196",43911,"AL062005","FRANKLIN",2005-07-27,"","TS",45,999,2005,0.72063
"197",43912,"AL062005","FRANKLIN",2005-07-28,"","TS",50,997,2005,0.72063
"198",43913,"AL062005","FRANKLIN",2005-07-28,"","TS",50,997,2005,0.72063
"199",43914,"AL062005","FRANKLIN",2005-07-28,"","TS",45,999,2005,0.72063
"200",43915,"AL062005","FRANKLIN",2005-07-28,"","TS",50,997,2005,0.72063
"201",43916,"AL062005","FRANKLIN",2005-07-29,"","TS",50,997,2005,0.72063
"202",43917,"AL062005","FRANKLIN",2005-07-29,"","TS",50,997,2005,0.72063
"203",43918,"AL062005","FRANKLIN",2005-07-29,"","TS",50,997,2005,0.72063
"204",43919,"AL062005","FRANKLIN",2005-07-29,"","TS",50,999,2005,0.72063
"205",43920,"AL062005","FRANKLIN",2005-07-30,"","TS",50,1001,2005,0.72063
"206",43921,"AL062005","FRANKLIN",2005-07-30,"","TS",45,1003,2005,0.72063
"207",43922,"AL062005","FRANKLIN",2005-07-30,"","TS",40,1005,2005,0.72063
"208",43923,"AL062005","FRANKLIN",2005-07-30,"","TS",40,1006,2005,0.72063
"209",43924,"AL062005","FRANKLIN",2005-07-31,"","TS",40,1006,2005,0.72063
"210",43925,"AL072005","GERT",2005-07-23,"","TS",25,1011,2005,0.72063
"211",43926,"AL072005","GERT",2005-07-24,"","TS",30,1009,2005,0.72063
"212",43927,"AL072005","GERT",2005-07-24,"","TS",35,1009,2005,0.72063
"213",43928,"AL072005","GERT",2005-07-24,"","TS",35,1008,2005,0.72063
"214",43929,"AL072005","GERT",2005-07-24,"","TS",35,1007,2005,0.72063
"215",43930,"AL072005","GERT",2005-07-25,"L","TS",40,1005,2005,0.72063
"216",43931,"AL072005","GERT",2005-07-25,"","TS",30,1006,2005,0.72063
"217",43932,"AL072005","GERT",2005-07-25,"","TS",25,1006,2005,0.72063
"218",43933,"AL072005","GERT",2005-07-25,"","TS",20,1007,2005,0.72063
"219",43934,"AL082005","HARVEY",2005-08-02,"","TS",30,1006,2005,0.73203
"220",43935,"AL082005","HARVEY",2005-08-03,"","TS",30,1005,2005,0.73203
"221",43936,"AL082005","HARVEY",2005-08-03,"","TS",40,1003,2005,0.73203
"222",43937,"AL082005","HARVEY",2005-08-03,"","TS",45,1001,2005,0.73203
"223",43938,"AL082005","HARVEY",2005-08-03,"","TS",50,999,2005,0.73203
"224",43939,"AL082005","HARVEY",2005-08-04,"","TS",50,997,2005,0.73203
"225",43940,"AL082005","HARVEY",2005-08-04,"","TS",50,995,2005,0.73203
"226",43941,"AL082005","HARVEY",2005-08-04,"","TS",50,995,2005,0.73203
"227",43942,"AL082005","HARVEY",2005-08-04,"","TS",55,994,2005,0.73203
"228",43943,"AL082005","HARVEY",2005-08-05,"","TS",55,994,2005,0.73203
"229",43944,"AL082005","HARVEY",2005-08-05,"","TS",55,994,2005,0.73203
"230",43945,"AL082005","HARVEY",2005-08-05,"","TS",50,995,2005,0.73203
"231",43946,"AL082005","HARVEY",2005-08-05,"","TS",45,997,2005,0.73203
"232",43947,"AL082005","HARVEY",2005-08-06,"","TS",45,997,2005,0.73203
"233",43948,"AL082005","HARVEY",2005-08-06,"","TS",50,995,2005,0.73203
"234",43949,"AL082005","HARVEY",2005-08-06,"","TS",50,995,2005,0.73203
"235",43950,"AL082005","HARVEY",2005-08-06,"","TS",50,995,2005,0.73203
"236",43951,"AL082005","HARVEY",2005-08-07,"","TS",50,995,2005,0.73203
"237",43952,"AL082005","HARVEY",2005-08-07,"","TS",50,995,2005,0.73203
"238",43953,"AL082005","HARVEY",2005-08-07,"","TS",45,998,2005,0.73203
"239",43954,"AL082005","HARVEY",2005-08-07,"","TS",45,998,2005,0.73203
"240",43955,"AL082005","HARVEY",2005-08-08,"","TS",45,998,2005,0.73203
"241",43956,"AL082005","HARVEY",2005-08-08,"","TS",45,998,2005,0.73203
"242",43957,"AL082005","HARVEY",2005-08-08,"","TS",45,998,2005,0.73203
"243",43958,"AL082005","HARVEY",2005-08-08,"","TS",45,998,2005,0.73203
"244",43959,"AL082005","HARVEY",2005-08-09,"","TS",45,997,2005,0.73203
"245",43960,"AL082005","HARVEY",2005-08-09,"","TS",50,995,2005,0.73203
"246",43961,"AL082005","HARVEY",2005-08-09,"","TS",50,995,2005,0.73203
"247",43962,"AL082005","HARVEY",2005-08-09,"","TS",50,994,2005,0.73203
"248",43963,"AL082005","HARVEY",2005-08-10,"","TS",50,994,2005,0.73203
"249",43964,"AL082005","HARVEY",2005-08-10,"","TS",50,994,2005,0.73203
"250",43965,"AL082005","HARVEY",2005-08-10,"","TS",50,994,2005,0.73203
"251",43966,"AL082005","HARVEY",2005-08-10,"","TS",50,994,2005,0.73203
"252",43967,"AL082005","HARVEY",2005-08-11,"","TS",45,997,2005,0.73203
"253",43968,"AL082005","HARVEY",2005-08-11,"","TS",40,1000,2005,0.73203
"254",43969,"AL082005","HARVEY",2005-08-11,"","TS",35,1003,2005,0.73203
"255",43970,"AL082005","HARVEY",2005-08-11,"","TS",30,1005,2005,0.73203
"256",43971,"AL082005","HARVEY",2005-08-12,"","TS",30,1007,2005,0.73203
"257",43972,"AL082005","HARVEY",2005-08-12,"","TS",30,1008,2005,0.73203
"258",43973,"AL082005","HARVEY",2005-08-12,"","TS",30,1009,2005,0.73203
"259",43974,"AL082005","HARVEY",2005-08-12,"","TS",25,1010,2005,0.73203
"260",43975,"AL082005","HARVEY",2005-08-13,"","TS",25,1010,2005,0.73203
"261",43976,"AL082005","HARVEY",2005-08-13,"","TS",25,1011,2005,0.73203
"262",43977,"AL082005","HARVEY",2005-08-13,"","TS",25,1011,2005,0.73203
"263",43978,"AL082005","HARVEY",2005-08-13,"","TS",25,1012,2005,0.73203
"264",43979,"AL082005","HARVEY",2005-08-14,"","TS",25,1015,2005,0.73203
"265",43980,"AL092005","IRENE",2005-08-04,"","TS",25,1009,2005,0.73203
"266",43981,"AL092005","IRENE",2005-08-05,"","TS",25,1009,2005,0.73203
"267",43982,"AL092005","IRENE",2005-08-05,"","TS",25,1009,2005,0.73203
"268",43983,"AL092005","IRENE",2005-08-05,"","TS",30,1008,2005,0.73203
"269",43984,"AL092005","IRENE",2005-08-05,"","TS",30,1008,2005,0.73203
"270",43985,"AL092005","IRENE",2005-08-06,"","TS",30,1008,2005,0.73203
"271",43986,"AL092005","IRENE",2005-08-06,"","TS",30,1008,2005,0.73203
"272",43987,"AL092005","IRENE",2005-08-06,"","TS",30,1008,2005,0.73203
"273",43988,"AL092005","IRENE",2005-08-06,"","TS",30,1008,2005,0.73203
"274",43989,"AL092005","IRENE",2005-08-07,"","TS",30,1008,2005,0.73203
"275",43990,"AL092005","IRENE",2005-08-07,"","TS",30,1007,2005,0.73203
"276",43991,"AL092005","IRENE",2005-08-07,"","TS",35,1005,2005,0.73203
"277",43992,"AL092005","IRENE",2005-08-07,"","TS",35,1005,2005,0.73203
"278",43993,"AL092005","IRENE",2005-08-08,"","TS",35,1005,2005,0.73203
"279",43994,"AL092005","IRENE",2005-08-08,"","TS",35,1006,2005,0.73203
"280",43995,"AL092005","IRENE",2005-08-08,"","TS",30,1009,2005,0.73203
"281",43996,"AL092005","IRENE",2005-08-08,"","TS",30,1009,2005,0.73203
"282",43997,"AL092005","IRENE",2005-08-09,"","TS",30,1009,2005,0.73203
"283",43998,"AL092005","IRENE",2005-08-09,"","TS",30,1009,2005,0.73203
"284",43999,"AL092005","IRENE",2005-08-09,"","TS",30,1009,2005,0.73203
"285",44000,"AL092005","IRENE",2005-08-09,"","TS",30,1009,2005,0.73203
"286",44001,"AL092005","IRENE",2005-08-10,"","TS",30,1009,2005,0.73203
"287",44002,"AL092005","IRENE",2005-08-10,"","TS",30,1009,2005,0.73203
"288",44003,"AL092005","IRENE",2005-08-10,"","TS",30,1009,2005,0.73203
"289",44004,"AL092005","IRENE",2005-08-10,"","TS",30,1008,2005,0.73203
"290",44005,"AL092005","IRENE",2005-08-11,"","TS",35,1005,2005,0.73203
"291",44006,"AL092005","IRENE",2005-08-11,"","TS",40,1003,2005,0.73203
"292",44007,"AL092005","IRENE",2005-08-11,"","TS",45,1001,2005,0.73203
"293",44008,"AL092005","IRENE",2005-08-11,"","TS",45,1001,2005,0.73203
"294",44009,"AL092005","IRENE",2005-08-12,"","TS",45,1001,2005,0.73203
"295",44010,"AL092005","IRENE",2005-08-12,"","TS",55,998,2005,0.73203
"296",44011,"AL092005","IRENE",2005-08-12,"","TS",55,996,2005,0.73203
"297",44012,"AL092005","IRENE",2005-08-12,"","TS",55,995,2005,0.73203
"298",44013,"AL092005","IRENE",2005-08-13,"","TS",60,993,2005,0.73203
"299",44014,"AL092005","IRENE",2005-08-13,"","TS",60,996,2005,0.73203
"300",44015,"AL092005","IRENE",2005-08-13,"","TS",60,997,2005,0.73203
"301",44016,"AL092005","IRENE",2005-08-13,"","TS",60,1000,2005,0.73203
"302",44017,"AL092005","IRENE",2005-08-14,"","TS",60,997,2005,0.73203
"303",44018,"AL092005","IRENE",2005-08-14,"","TS",55,999,2005,0.73203
"304",44019,"AL092005","IRENE",2005-08-14,"","TS",55,999,2005,0.73203
"305",44020,"AL092005","IRENE",2005-08-14,"","TS",60,994,2005,0.73203
"306",44021,"AL092005","IRENE",2005-08-15,"","HU",70,989,2005,0.73203
"307",44022,"AL092005","IRENE",2005-08-15,"","HU",75,985,2005,0.73203
"308",44023,"AL092005","IRENE",2005-08-15,"","HU",75,985,2005,0.73203
"309",44024,"AL092005","IRENE",2005-08-15,"","HU",80,980,2005,0.73203
"310",44025,"AL092005","IRENE",2005-08-16,"","HU",80,980,2005,0.73203
"311",44026,"AL092005","IRENE",2005-08-16,"","HU",80,978,2005,0.73203
"312",44027,"AL092005","IRENE",2005-08-16,"","HU",85,975,2005,0.73203
"313",44028,"AL092005","IRENE",2005-08-16,"","HU",90,970,2005,0.73203
"314",44029,"AL092005","IRENE",2005-08-17,"","HU",80,978,2005,0.73203
"315",44030,"AL092005","IRENE",2005-08-17,"","HU",75,983,2005,0.73203
"316",44031,"AL092005","IRENE",2005-08-17,"","HU",65,987,2005,0.73203
"317",44032,"AL092005","IRENE",2005-08-17,"","HU",65,987,2005,0.73203
"318",44033,"AL092005","IRENE",2005-08-18,"","TS",60,990,2005,0.73203
"319",44034,"AL092005","IRENE",2005-08-18,"","TS",60,990,2005,0.73203
"320",44035,"AL092005","IRENE",2005-08-18,"","TS",50,992,2005,0.73203
"321",44036,"AL102005","TEN",2005-08-13,"","TS",25,1009,2005,0.73203
"322",44037,"AL102005","TEN",2005-08-13,"","TS",30,1008,2005,0.73203
"323",44038,"AL102005","TEN",2005-08-14,"","TS",30,1008,2005,0.73203
"324",44039,"AL102005","TEN",2005-08-14,"","TS",25,1009,2005,0.73203
"325",44040,"AL102005","TEN",2005-08-14,"","TS",25,1009,2005,0.73203
"326",44041,"AL102005","TEN",2005-08-14,"","TS",25,1010,2005,0.73203
"327",44042,"AL102005","TEN",2005-08-15,"","TS",25,1010,2005,0.73203
"328",44043,"AL102005","TEN",2005-08-15,"","TS",25,1010,2005,0.73203
